DATE,Daily_Mean_PM,Daily_AQI_Value,AQI_Targeted_Value_LAG_7
2022-01-01,6.1,34.0,61.0
2022-01-02,4.6,26.0,23.0
2022-01-03,9.6,52.0,31.0
2022-01-04,5.3,29.0,49.0
2022-01-05,5.9,32.666666666666664,35.0
2022-01-06,7.1,39.0,43.0
2022-01-07,7.5,42.0,52.66666666666666
2022-01-08,14.466666666666669,61.0,27.0
2022-01-09,4.2,23.0,55.0
2022-01-10,5.6,31.0,64.25
2022-01-11,8.9,49.0,37.0
2022-01-12,6.3,35.0,44.0
2022-01-13,7.7,43.0,9.0
2022-01-14,10.533333333333331,52.66666666666666,17.0
2022-01-15,4.8,27.0,55.0
2022-01-16,11.0,55.0,50.333333333333336
2022-01-17,16.125,64.25,26.0
2022-01-18,6.6,37.0,41.0
2022-01-19,7.9,44.0,39.0
2022-01-20,1.5666666666666669,9.0,49.0
2022-01-21,3.0,17.0,37.0
2022-01-22,11.3,55.0,32.0
2022-01-23,9.266666666666667,50.333333333333336,13.0
2022-01-24,4.6,26.0,19.0
2022-01-25,7.3,41.0,24.5
2022-01-26,7.033333333333334,39.0,21.0
2022-01-27,8.8,49.0,6.0
2022-01-28,6.6,37.0,41.333333333333336
2022-01-29,5.8,32.0,64.0
2022-01-30,2.3,13.0,32.0
2022-01-31,3.5,19.0,42.333333333333336
2022-02-01,4.425,24.5,25.5
2022-02-02,3.7,21.0,50.0
2022-02-03,1.1,6.0,55.66666666666666
2022-02-04,7.5,41.333333333333336,35.0
2022-02-05,16.3,64.0,9.0
2022-02-06,5.7,32.0,46.75
2022-02-07,7.866666666666667,42.333333333333336,41.5
2022-02-08,4.6,25.5,24.5
2022-02-09,9.35,50.0,23.25
2022-02-10,11.566666666666668,55.66666666666666,20.5
2022-02-11,6.3,35.0,23.5
2022-02-12,1.7,9.0,53.75
2022-02-13,8.625,46.75,28.0
2022-02-14,7.45,41.5,28.0
2022-02-15,4.45,24.5,44.2
2022-02-16,4.225,23.25,11.5
2022-02-17,3.7,20.5,8.5
2022-02-18,4.2,23.5,42.5
2022-02-19,11.025,53.75,44.5
2022-02-20,5.0,28.0,53.5
2022-02-21,5.05,28.0,54.0
2022-02-22,7.94,44.2,46.5
2022-02-23,2.1,11.5,53.5
2022-02-24,0.4499999999999999,8.5,57.25
2022-02-25,7.699999999999999,42.5,47.0
2022-02-26,8.350000000000001,44.5,40.0
2022-02-27,11.0,53.5,33.25
2022-02-28,10.75,54.0,28.33333333333333
2022-03-01,8.350000000000001,46.5,42.0
2022-03-02,10.45,53.5,50.0
2022-03-03,12.375,57.25,38.0
2022-03-04,8.5,47.0,51.0
2022-03-05,7.2,40.0,33.0
2022-03-06,6.0,33.25,30.0
2022-03-07,5.133333333333334,28.33333333333333,32.0
2022-03-08,7.5,42.0,45.75
2022-03-09,9.0,50.0,47.0
2022-03-10,6.9,38.0,43.0
2022-03-11,9.2,51.0,17.2
2022-03-12,6.0,33.0,36.5
2022-03-13,5.449999999999999,30.0,40.5
2022-03-14,5.800000000000001,32.0,25.5
2022-03-15,8.25,45.75,19.5
2022-03-16,8.5,47.0,21.5
2022-03-17,7.7,43.0,29.5
2022-03-18,3.08,17.2,46.0
2022-03-19,6.55,36.5,62.0
2022-03-20,7.25,40.5,37.5
2022-03-21,4.6,25.5,26.0
2022-03-22,3.5,19.5,39.0
2022-03-23,3.85,21.5,54.25
2022-03-24,5.325,29.5,38.0
2022-03-25,8.3,46.0,33.0
2022-03-26,14.8,62.0,52.5
2022-03-27,6.75,37.5,54.5
2022-03-28,4.7,26.0,51.0
2022-03-29,7.050000000000001,39.0,44.5
2022-03-30,10.95,54.25,25.0
2022-03-31,6.800000000000001,38.0,37.0
2022-04-01,5.9,33.0,56.0
2022-04-02,9.925,52.5,39.0
2022-04-03,10.9,54.5,39.0
2022-04-04,9.55,51.0,58.333333333333336
2022-04-05,7.975,44.5,62.0
2022-04-06,4.5,25.0,53.0
2022-04-07,6.7,37.0,33.333333333333336
2022-04-08,11.633333333333333,56.0,50.5
2022-04-09,7.0,39.0,57.5
2022-04-10,7.1,39.0,52.5
2022-04-11,13.0,58.333333333333336,31.0
2022-04-12,14.9,62.0,36.0
2022-04-13,10.0,53.0,49.75
2022-04-14,6.033333333333334,33.333333333333336,54.5
2022-04-15,9.05,50.5,53.0
2022-04-16,12.75,57.5,44.66666666666666
2022-04-17,10.05,52.5,35.0
2022-04-18,5.550000000000001,31.0,16.5
2022-04-19,6.5,36.0,31.0
2022-04-20,9.175,49.75,45.5
2022-04-21,11.1,54.5,44.5
2022-04-22,10.1,53.0,30.33333333333333
2022-04-23,8.033333333333333,44.66666666666666,28.33333333333333
2022-04-24,6.25,35.0,40.66666666666666
2022-04-25,3.0,16.5,40.0
2022-04-26,5.533333333333334,31.0,23.33333333333333
2022-04-27,8.35,45.5,56.0
2022-04-28,8.05,44.5,40.75
2022-04-29,5.433333333333334,30.33333333333333,38.0
2022-04-30,5.166666666666667,28.33333333333333,60.0
2022-05-01,7.266666666666667,40.66666666666666,68.25
2022-05-02,7.233333333333333,40.0,71.33333333333333
2022-05-03,4.233333333333333,23.33333333333333,60.333333333333336
2022-05-04,11.8,56.0,55.5
2022-05-05,7.35,40.75,54.0
2022-05-06,6.833333333333333,38.0,48.66666666666666
2022-05-07,14.1,60.0,48.75
2022-05-08,18.425,68.25,45.66666666666666
2022-05-09,20.066666666666663,71.33333333333333,48.333333333333336
2022-05-10,14.0,60.333333333333336,52.4
2022-05-11,11.55,55.5,47.66666666666666
2022-05-12,10.75,54.0,52.333333333333336
2022-05-13,8.799999999999999,48.66666666666666,82.0
2022-05-14,8.9,48.75,69.0
2022-05-15,8.299999999999999,45.66666666666666,23.33333333333333
2022-05-16,9.1,48.333333333333336,37.0
2022-05-17,9.94,52.4,37.66666666666666
2022-05-18,8.700000000000001,47.66666666666666,18.0
2022-05-19,9.966666666666669,52.333333333333336,35.25
2022-05-20,25.775,82.0,49.333333333333336
2022-05-21,18.8,69.0,47.66666666666666
2022-05-22,4.133333333333334,23.33333333333333,53.4
2022-05-23,6.675,37.0,51.66666666666666
2022-05-24,6.8,37.66666666666666,45.0
2022-05-25,3.25,18.0,34.25
2022-05-26,6.35,35.25,10.5
2022-05-27,9.1,49.333333333333336,29.0
2022-05-28,8.6,47.66666666666666,43.0
2022-05-29,10.5,53.4,38.5
2022-05-30,9.566666666666666,51.66666666666666,36.0
2022-05-31,8.1,45.0,34.333333333333336
2022-06-01,6.175,34.25,38.333333333333336
2022-06-02,1.9,10.5,57.66666666666666
2022-06-03,5.199999999999999,29.0,58.66666666666666
2022-06-04,8.1,43.0,45.66666666666666
2022-06-05,6.95,38.5,60.0
2022-06-06,6.55,36.0,107.66666666666669
2022-06-07,6.133333333333333,34.333333333333336,115.0
2022-06-08,6.966666666666666,38.333333333333336,68.66666666666667
2022-06-09,12.766666666666666,57.66666666666666,109.0
2022-06-10,13.199999999999998,58.66666666666666,103.0
2022-06-11,8.866666666666667,45.66666666666666,59.66666666666666
2022-06-12,13.800000000000002,60.0,58.75
2022-06-13,37.93333333333333,107.66666666666669,58.0
2022-06-14,41.266666666666666,115.0,61.333333333333336
2022-06-15,18.6,68.66666666666667,57.0
2022-06-16,38.6,109.0,59.333333333333336
2022-06-17,36.03333333333333,103.0,57.333333333333336
2022-06-18,13.699999999999998,59.66666666666666,47.25
2022-06-19,13.325,58.75,53.333333333333336
2022-06-20,12.833333333333334,58.0,49.0
2022-06-21,14.666666666666666,61.333333333333336,43.5
2022-06-22,12.38,57.0,50.66666666666666
2022-06-23,13.433333333333332,59.333333333333336,59.5
2022-06-24,12.433333333333332,57.333333333333336,29.5
2022-06-25,8.55,47.25,45.0
2022-06-26,10.3,53.333333333333336,54.333333333333336
2022-06-27,8.833333333333334,49.0,55.25
2022-06-28,7.85,43.5,53.5
2022-06-29,9.4,50.66666666666666,54.5
2022-06-30,13.5,59.5,44.333333333333336
2022-07-01,5.3,29.5,51.5
2022-07-02,8.1,45.0,54.5
2022-07-03,10.8,54.333333333333336,37.333333333333336
2022-07-04,11.4,55.25,52.5
2022-07-05,10.45,53.5,52.5
2022-07-06,10.9,54.5,57.333333333333336
2022-07-07,8.033333333333333,44.333333333333336,50.5
2022-07-08,9.9,51.5,48.0
2022-07-09,11.05,54.5,45.25
2022-07-10,6.733333333333333,37.333333333333336,94.5
2022-07-11,10.05,52.5,98.5
2022-07-12,9.85,52.5,55.0
2022-07-13,12.566666666666668,57.333333333333336,57.0
2022-07-14,9.4,50.5,56.0
2022-07-15,9.2,48.0,63.0
2022-07-16,8.15,45.25,54.0
2022-07-17,31.85,94.5,43.0
2022-07-18,33.7,98.5,36.0
2022-07-19,11.15,55.0,33.0
2022-07-20,12.3,57.0,33.0
2022-07-21,11.9,56.0,37.333333333333336
2022-07-22,15.5,63.0,36.0
2022-07-23,10.6,54.0,52.0
2022-07-24,7.7,43.0,58.5
2022-07-25,6.5,36.0,47.0
2022-07-26,6.0,33.0,49.0
2022-07-27,6.0,33.0,52.0
2022-07-28,6.7,37.333333333333336,66.0
2022-07-29,6.5,36.0,67.33333333333333
2022-07-30,9.5,52.0,48.5
2022-07-31,13.1,58.5,49.0
2022-08-01,8.4,47.0,50.66666666666666
2022-08-02,8.8,49.0,40.0
2022-08-03,9.65,52.0,48.66666666666666
2022-08-04,17.200000000000003,66.0,46.66666666666666
2022-08-05,17.900000000000002,67.33333333333333,43.5
2022-08-06,9.475,48.5,46.0
2022-08-07,8.766666666666666,49.0,43.0
2022-08-08,9.133333333333333,50.66666666666666,53.0
2022-08-09,7.2,40.0,50.0
2022-08-10,8.733333333333333,48.66666666666666,48.0
2022-08-11,8.566666666666668,46.66666666666666,41.25
2022-08-12,7.775,43.5,44.333333333333336
2022-08-13,8.266666666666667,46.0,40.0
2022-08-14,7.733333333333333,43.0,25.25
2022-08-15,10.2,53.0,8.666666666666666
2022-08-16,9.15,50.0,10.666666666666666
2022-08-17,8.666666666666666,48.0,21.5
2022-08-18,7.45,41.25,31.0
2022-08-19,7.966666666666666,44.333333333333336,28.666666666666668
2022-08-20,7.2,40.0,44.75
2022-08-21,4.6,25.25,20.33333333333333
2022-08-22,1.0,8.666666666666666,21.33333333333333
2022-08-23,1.9,10.666666666666666,25.75
2022-08-24,3.875,21.5,28.0
2022-08-25,5.533333333333334,31.0,31.33333333333333
2022-08-26,5.2,28.666666666666668,34.0
2022-08-27,8.175,44.75,42.0
2022-08-28,3.6666666666666665,20.33333333333333,38.333333333333336
2022-08-29,3.8333333333333335,21.33333333333333,35.25
